rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	11	0	6	442	1	1	23	467	425	61	3.593902e-15	1.000000e-05	1.000000e-05	1.000000e-16	5.235257e-13
2	TP53	tumor protein p53	1902	25	0	3	252	55	25	55	387	380	184	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	5.235257e-13
3	GATA3	GATA binding protein 3	1351	1	1	4	16	4	1	155	176	171	96	8.529122e-16	1.000000e-05	7.632900e-01	1.000000e-16	5.235257e-13
4	MAP2K4	mitogen-activated protein kinase kinase 4	1242	1	0	1	24	12	6	20	62	61	52	1.000000e-16	4.700000e-03	6.018000e-01	1.110223e-16	5.235257e-13
5	MAP3K1	mitogen-activated protein kinase kinase kinase 1	4615	23	0	6	31	24	8	103	166	113	147	1.231998e-15	1.700000e-02	9.280000e-01	1.665335e-15	5.235257e-12
6	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	2709	0	0	0	15	9	6	19	49	45	45	1.000000e-16	3.500000e-01	4.380000e-01	1.665335e-15	5.235257e-12
7	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	14968	2	0	9	36	37	7	39	119	111	115	1.000000e-16	1	6.570000e-01	3.774758e-15	1.017136e-11
8	CBFB	core-binding factor, beta subunit	615	1	1	1	13	4	6	14	37	35	33	1.358405e-15	2.180000e-01	6.600000e-02	4.996004e-15	1.177933e-11
9	AKT1	v-akt murine thymoma viral oncogene homolog 1	1495	5	1	2	46	0	0	1	47	47	6	1.870721e-11	1.000000e-05	1.000000e-05	6.994405e-15	1.465872e-11
10	NCOR1	nuclear receptor co-repressor 1	7666	1	1	4	11	15	4	19	49	49	48	8.033981e-16	5.630000e-01	3.010000e-01	1.221245e-14	2.303513e-11
11	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	19	0	2	14	17	1	14	46	45	45	4.511345e-16	6.430000e-01	5.440000e-01	1.643130e-14	2.652530e-11
12	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	32	1	0	20	10	5	33	68	61	59	2.195590e-15	1.050000e-01	7.700000e-01	1.687539e-14	2.652530e-11
13	ESR1	estrogen receptor 1	1820	18	0	2	31	1	0	4	36	35	18	3.570024e-09	1.000000e-05	5.466000e-02	1.141087e-12	1.655630e-09
14	ZKSCAN1	zinc finger with KRAB and SCAN domains 1	1712	8	1	2	6	1	0	13	20	19	8	1.261324e-08	1.000000e-05	9.998400e-01	3.872458e-12	5.217307e-09
15	ZNF19	zinc finger protein 19	1393	2	1	0	4	1	0	5	10	9	6	1.291286e-07	4.000000e-05	7.404100e-01	2.716446e-10	3.415840e-07
16	SPEN	spen homolog, transcriptional regulator (Drosophila)	11051	0	0	10	33	13	0	14	60	48	59	1.666779e-10	4.040000e-01	6.870000e-01	1.940044e-09	2.287070e-06
17	MYH9	myosin, heavy chain 9, non-muscle	6043	2	0	3	8	3	4	4	19	17	18	1.191769e-09	1.070000e-01	6.520000e-01	3.735215e-09	4.144331e-06
18	TBX3	T-box 3 (ulnar mammary syndrome)	2260	9	0	0	7	2	1	19	29	27	25	1.004739e-09	2.960000e-01	4.430000e-01	5.825787e-09	6.104777e-06
19	CTCF	CCCTC-binding factor (zinc finger protein)	2224	0	0	3	18	3	1	6	28	28	24	6.340874e-05	1.700000e-04	3.300000e-04	1.406332e-08	1.396117e-05
20	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	36	1	0	9	0	0	0	9	9	3	8.981596e-05	1.000000e-05	4.651000e-02	1.960743e-08	1.838402e-05
21	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	12127	7	1	6	17	7	7	8	39	37	39	1.281732e-09	1	4.080000e-01	2.046784e-08	1.838402e-05
22	C10orf18	chromosome 10 open reading frame 18	7365	2	1	2	14	4	1	6	25	24	20	4.779659e-06	5.600000e-04	1.699000e-01	3.257560e-08	2.792914e-05
23	GPS2	G protein pathway suppressor 2	1789	5	0	0	1	3	0	10	14	14	13	5.310128e-08	2.410000e-01	4.100000e-02	7.277141e-08	5.967888e-05
24	SF3B1	splicing factor 3b, subunit 1, 155kDa	4035	2	1	1	24	1	0	1	26	26	7	4.246309e-04	1.000000e-05	1.900000e-04	8.610333e-08	6.767004e-05
25	ATM	ataxia telangiectasia mutated	9441	1	1	4	20	6	6	5	37	36	36	8.617890e-08	2.930000e-01	4.800000e-02	1.021846e-07	7.709624e-05
26	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	606	19	0	1	1	3	0	8	12	12	11	2.124251e-08	5.100000e-01	9.250000e-01	2.636987e-07	1.913033e-04
27	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	3896	11	0	4	32	0	0	2	34	29	25	2.650353e-03	2.000000e-05	3.197000e-02	4.888838e-07	3.415306e-04
28	RBM27	RNA binding motif protein 27	3263	0	0	0	5	0	1	5	11	11	8	5.672467e-05	6.666667e-04	7.988000e-01	1.003179e-06	6.757843e-04
29	COIL	coilin	1757	1	0	0	2	0	0	3	5	5	3	1.457469e-03	5.000000e-05	8.588800e-01	1.270516e-06	8.263609e-04
30	BRCA2	breast cancer 2, early onset	10361	1	0	3	14	2	1	13	30	29	30	1.763019e-07	1	9.580000e-01	2.917985e-06	1.834634e-03
31	OR5K4	olfactory receptor, family 5, subfamily K, member 4	964	6	0	1	0	0	0	5	5	5	1	2.258579e-02	1.000000e-05	9.950900e-01	3.682243e-06	2.240467e-03
32	SPRED2	sprouty-related, EVH1 domain containing 2	1296	3	1	1	2	2	2	2	8	8	7	2.097743e-06	1.420000e-01	3.860000e-01	5.588844e-06	3.294274e-03
33	RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	1520	0	6	2	8	0	1	18	27	26	23	2.440201e-05	1.346000e-01	3.410000e-02	8.111270e-06	4.636205e-03
34	MEN1	multiple endocrine neoplasia I	1884	4	0	2	4	2	0	8	14	14	14	2.122954e-06	1	2.670000e-01	1.428561e-05	7.925152e-03
35	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	4266	7	2	4	27	0	1	0	28	27	22	1.813384e-02	2.100000e-04	2.186500e-01	1.850358e-05	9.971842e-03
36	MYL10	myosin, light chain 10, regulatory	709	32	0	0	2	1	5	0	8	8	4	1.646673e-06	1	9.910000e-01	2.357502e-05	1.235200e-02
37	RB1	retinoblastoma 1 (including osteosarcoma)	3716	0	0	0	8	10	1	4	23	21	23	1.927761e-06	1	7.360000e-01	2.729546e-05	1.391478e-02
38	HIST1H3B	histone cluster 1, H3b	808	9	0	1	18	1	0	1	20	19	15	1.340639e-03	2.100000e-03	3.280000e-02	4.050687e-05	2.010633e-02
39	CHD9	chromodomain helicase DNA binding protein 9	8794	1	0	2	18	1	0	6	25	24	20	3.762082e-02	8.800000e-04	1.313000e-02	4.603399e-05	2.226393e-02
40	KIAA0195	KIAA0195	4193	1	0	1	9	3	1	2	15	15	14	1.547970e-04	1.050000e-01	1.180000e-01	5.594419e-05	2.638048e-02
41	NOTCH2	Notch homolog 2 (Drosophila)	7548	4	0	4	11	1	1	5	18	17	16	1.438410e-03	2.900000e-03	7.839000e-01	7.343784e-05	3.378499e-02
42	ASXL2	additional sex combs like 2 (Drosophila)	4352	3	0	2	4	4	2	2	12	12	12	1.915547e-05	1	2.650000e-01	8.360117e-05	3.754489e-02
43	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	2361	1	3	2	10	0	1	13	24	24	22	1.454200e-04	5.700000e-02	4.420000e-01	8.639254e-05	3.789619e-02
44	MLL5	myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)	5680	4	0	0	15	1	0	4	20	20	19	5.466786e-05	1.760000e-01	6.340000e-01	1.048754e-04	4.495819e-02
45	RAD54B	RAD54 homolog B (S. cerevisiae)	2789	9	0	3	12	2	0	0	14	14	13	3.557297e-05	3.770000e-01	2.920000e-01	1.164538e-04	4.881226e-02
46	BPIL1	bactericidal/permeability-increasing protein-like 1	1437	1	0	0	1	2	1	0	4	4	4	1.836563e-05	1	4.220000e-01	1.197273e-04	4.902267e-02
47	ZNF208	zinc finger protein 208	3855	5	0	6	16	3	0	1	20	19	15	9.899754e-01	1.000000e-05	7.185000e-01	1.239746e-04	4.902267e-02
48	E2F4	E2F transcription factor 4, p107/p130-binding	1281	6	0	0	4	3	0	2	9	8	9	1.012740e-05	1	6.220000e-01	1.265952e-04	4.902267e-02
49	TARBP2	TAR (HIV-1) RNA binding protein 2	1133	7	0	2	3	2	1	1	7	7	6	1.243075e-04	5.200000e-02	9.050000e-01	1.273519e-04	4.902267e-02
50	PRB2	proline-rich protein BstNI subfamily 2	1265	2	0	1	13	0	0	0	13	13	7	1.507048e-01	2.000000e-05	8.810200e-01	1.314389e-04	4.925840e-02
51	LIPH	lipase, member H	1393	37	0	2	1	0	1	3	5	5	3	1.189111e-01	6.000000e-05	8.754700e-01	1.331873e-04	4.925840e-02
52	FANCD2	Fanconi anemia, complementation group D2	4667	1	1	1	8	3	0	4	15	15	13	1.659614e-03	4.400000e-03	8.228000e-01	1.360622e-04	4.935396e-02
53	PLK2	polo-like kinase 2 (Drosophila)	2111	17	0	2	3	0	1	6	10	10	8	4.660408e-03	1.800000e-03	9.154000e-01	1.650433e-04	5.873674e-02
54	USP8	ubiquitin specific peptidase 8	3433	0	0	2	8	0	0	3	11	11	9	1.537058e-02	1.800000e-03	1.984000e-01	1.686087e-04	5.889439e-02
55	SP3	Sp3 transcription factor	2370	6	0	0	7	2	1	2	12	12	12	1.455809e-05	1	5.680000e-01	1.766969e-04	6.059739e-02
56	MAML3	mastermind-like 3 (Drosophila)	3425	0	1	2	6	0	0	5	11	10	8	7.125704e-03	2.850000e-03	3.820500e-01	2.358759e-04	7.944804e-02
57	HCFC2	host cell factor C2	2436	11	0	0	9	1	1	0	11	11	11	3.096888e-05	1	5.210000e-01	2.414800e-04	7.990870e-02
58	PLTP	phospholipid transfer protein	1542	6	0	2	6	0	2	0	8	8	8	1.863705e-04	1.210000e-01	9.910000e-01	3.171561e-04	1.014305e-01
59	FAM49B	family with sequence similarity 49, member B	1015	59	0	1	7	1	1	0	9	9	8	5.017082e-04	1.360000e-01	2.690000e-01	3.172729e-04	1.014305e-01
60	NUP93	nucleoporin 93kDa	2544	0	1	2	6	1	0	0	7	6	3	9.525654e-01	2.000000e-05	1.929000e-02	3.275751e-04	1.029787e-01
61	TFDP1	transcription factor Dp-1	1277	8	0	0	5	1	0	0	6	6	6	1.385800e-03	2.600000e-02	5.620000e-01	4.046669e-04	1.251283e-01
62	PTPN22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	2525	22	1	1	11	1	1	1	14	13	14	3.750304e-05	1	8.110000e-01	4.196999e-04	1.272074e-01
63	SYBU	syntabulin (syntaxin-interacting)	2033	13	1	3	11	1	1	1	14	14	13	1.226180e-03	1.870000e-01	4.000000e-02	4.248789e-04	1.272074e-01
64	DIAPH1	diaphanous homolog 1 (Drosophila)	3927	24	0	0	8	1	2	1	12	10	12	4.764573e-04	1	3.000000e-02	4.741403e-04	1.397380e-01
65	PODXL	podocalyxin-like	1709	7	1	2	0	0	5	0	5	5	2	1.155598e-03	3.600000e-02	7.740000e-01	5.535487e-04	1.606313e-01
66	FIGNL1	fidgetin-like 1	2029	1	0	0	2	1	0	2	5	5	4	6.872678e-03	1.580000e-02	2.623000e-01	5.942676e-04	1.698345e-01
67	CXorf38	chromosome X open reading frame 38	985	9	0	1	7	0	0	1	8	8	7	3.433173e-04	2.580000e-01	3.230000e-01	6.139390e-04	1.728376e-01
68	ORC2L	origin recognition complex, subunit 2-like (yeast)	1798	5	0	0	6	2	1	0	9	9	9	6.102420e-05	1	7.730000e-01	6.532177e-04	1.811911e-01
69	RIC8A	resistance to inhibitors of cholinesterase 8 homolog A (C. elegans)	1803	10	0	2	7	1	1	2	11	9	10	6.028655e-03	1.181000e-01	2.350000e-02	7.217161e-04	1.972900e-01
70	PNN	pinin, desmosome associated protein	2188	5	0	0	4	1	1	1	7	6	7	1.499178e-03	1	2.900000e-02	7.727060e-04	2.035679e-01
71	TSC1	tuberous sclerosis 1	3579	2	0	1	9	2	0	1	12	12	11	1.476898e-03	7.900000e-02	2.000000e-01	7.763717e-04	2.035679e-01
72	PRKCZ	protein kinase C, zeta	1847	7	0	0	6	0	0	0	6	6	4	1.847930e-01	4.000000e-04	6.983750e-01	7.770592e-04	2.035679e-01
73	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	2346	6	1	1	5	1	0	5	11	10	11	1.446829e-02	1	1.050000e-03	8.306738e-04	2.146325e-01
74	ACLY	ATP citrate lyase	3418	8	0	1	10	1	2	0	13	10	13	5.811491e-04	1	7.600000e-02	8.584417e-04	2.162276e-01
75	FHDC1	FH2 domain containing 1	3474	2	0	1	6	0	0	4	10	10	8	2.952321e-02	2.000000e-03	9.715000e-01	8.597748e-04	2.162276e-01
76	SLFN13	schlafen family member 13	2710	7	0	1	9	3	0	0	12	10	10	3.500186e-02	1.350000e-03	8.609000e-01	8.723562e-04	2.165050e-01
77	RABEP1	rabaptin, RAB GTPase binding effector protein 1	2657	0	0	0	4	1	1	3	9	8	9	2.913791e-04	1	2.240000e-01	9.124468e-04	2.217421e-01
