rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1902	21	0	2	130	41	19	62	252	245	136	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	1.886200e-12
2	RB1	retinoblastoma 1 (including osteosarcoma)	3716	58	0	1	2	3	2	7	14	14	14	1.191497e-09	1	1.640000e-01	7.639530e-09	4.851383e-05
3	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	11	0	2	33	0	1	6	40	33	20	3.383222e-05	1.000000e-05	1.835000e-02	7.716122e-09	4.851383e-05
4	FBXW7	F-box and WD repeat domain containing 7	2580	34	0	0	9	1	0	3	13	13	12	3.146559e-07	4.190000e-01	8.600000e-02	8.592980e-07	4.052020e-03
5	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	17	0	0	4	4	0	1	9	9	9	1.237588e-07	1	6.290000e-01	2.092134e-06	7.197792e-03
6	BRCA1	breast cancer 1, early onset	5750	2	1	0	4	2	1	8	15	15	15	2.464104e-07	1	4.670000e-01	2.294327e-06	7.197792e-03
7	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1002	102	0	0	6	3	0	0	9	7	7	3.914169e-05	3.141000e-01	9.300000e-03	2.671219e-06	7.197792e-03
8	MYL10	myosin, light chain 10, regulatory	709	25	0	0	0	0	4	0	4	4	3	6.475276e-06	NaN	NaN	6.475276e-06	1.526708e-02
9	ZKSCAN1	zinc finger with KRAB and SCAN domains 1	1712	23	0	0	3	0	0	3	6	6	4	9.108091e-04	3.750000e-04	9.092000e-01	8.097852e-06	1.697130e-02
10	MGAT5B	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B	2537	2	0	0	2	1	3	1	7	7	7	1.248471e-05	1	8.200000e-02	2.837643e-05	5.352362e-02
11	MAML3	mastermind-like 3 (Drosophila)	3425	1	0	0	2	0	0	3	5	5	3	2.063420e-02	9.000000e-05	6.556600e-01	3.973434e-05	6.813356e-02
12	NOTCH2	Notch homolog 2 (Drosophila)	7548	0	0	2	6	2	0	5	13	12	12	1.108796e-04	3.000000e-02	9.550000e-01	5.499012e-05	8.643530e-02
13	NBN	nibrin	2325	20	0	0	3	0	0	1	4	4	3	4.763607e-03	1.020000e-02	5.400000e-03	1.360947e-04	1.974629e-01
14	STAB2	stabilin 2	7928	1	0	0	6	1	2	1	10	10	10	2.158991e-04	1	2.800000e-02	1.635915e-04	2.171701e-01
15	RAB42	RAB42, member RAS oncogene family	318	52	0	0	0	0	0	2	2	2	1	1.420002e-03	1.060000e-02	2.260000e-02	1.727045e-04	2.171701e-01
16	ATG4C	ATG4 autophagy related 4 homolog C (S. cerevisiae)	1417	37	0	0	1	1	1	2	5	5	5	7.656545e-05	1	3.310000e-01	4.447327e-04	5.242843e-01
17	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	2361	7	0	2	0	0	0	5	5	5	5	5.001249e-04	1	8.100000e-02	5.650700e-04	6.149204e-01
18	C6orf118	chromosome 6 open reading frame 118	1444	20	1	0	4	0	1	0	5	5	4	9.037082e-02	3.390000e-02	1.433333e-03	5.868183e-04	6.149204e-01
19	LZTR1	leucine-zipper-like transcription regulator 1	2624	66	1	0	4	1	1	1	7	7	7	9.866055e-05	1	5.550000e-01	6.258394e-04	6.212939e-01
20	MTMR12	myotubularin related protein 12	2304	24	0	1	4	0	0	1	5	5	4	7.454077e-02	1.780000e-02	9.700000e-03	8.183193e-04	7.717569e-01
21	NUP153	nucleoporin 153kDa	4512	2	0	0	1	1	0	1	3	3	3	7.267243e-03	1	5.500000e-03	8.819437e-04	7.905552e-01
22	COIL	coilin	1757	34	0	0	0	0	0	3	3	3	2	1.374156e-02	5.000000e-03	5.798000e-01	9.220769e-04	7.905552e-01
23	ZNF195	zinc finger protein 195	1910	3	0	1	5	0	0	1	6	6	4	4.141704e-01	2.142857e-04	9.418714e-01	1.026413e-03	8.417483e-01
24	PSKH1	protein serine kinase H1	1283	80	0	0	2	1	0	0	3	3	2	1.818329e-02	7.800000e-03	9.121000e-01	1.398566e-03	1
25	CCRL2	chemokine (C-C motif) receptor-like 2	1075	17	0	0	2	0	1	0	3	3	3	1.845060e-03	1	5.800000e-02	1.400692e-03	1
26	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	7449	2	0	0	5	1	1	3	10	10	10	1.452476e-04	1	7.740000e-01	1.428811e-03	1
27	NAA50	N(alpha)-acetyltransferase 50, NatE catalytic subunit	526	22	0	0	3	0	0	0	3	3	3	1.857631e-03	1	7.100000e-02	1.458490e-03	1
28	AMZ1	archaelysin family metallopeptidase 1	1517	17	0	1	2	1	0	0	3	3	2	2.576110e-02	5.700000e-03	9.980000e-01	1.510871e-03	1
29	CACNA1S	calcium channel, voltage-dependent, L type, alpha 1S subunit	5794	6	0	3	5	1	2	1	9	9	9	1.292651e-03	1	8.500000e-02	1.639797e-03	1
30	DDOST	dolichyl-diphosphooligosaccharide-protein glycosyltransferase	1411	1	0	0	1	0	0	2	3	3	3	6.276348e-03	1	1.500000e-02	1.889230e-03	1
31	C8orf31	chromosome 8 open reading frame 31	419	16	0	0	1	1	0	0	2	2	2	2.400977e-04	1	5.850000e-01	2.241183e-03	1
32	MEFV	Mediterranean fever	2384	27	1	0	2	0	0	1	3	3	3	1.889630e-01	1	1.000000e-03	2.313568e-03	1
33	RC3H2	ring finger and CCCH-type zinc finger domains 2	3732	1	0	0	1	0	1	1	3	3	3	2.051948e-02	1	6.800000e-03	2.343321e-03	1
34	CDC20	cell division cycle 20 homolog (S. cerevisiae)	1542	9	0	0	5	0	0	0	5	5	5	2.332632e-03	1	6.700000e-02	2.397355e-03	1
